UNLOCODE	Countrycode	Town	Long	Lat	top500_id	meril_id	Source
DK AAR	DK	Aarhus	10.2167	56.1500		15346	unlocode
EE TAY	EE	Tartu	26.7333	58.3500		15305;15805;15306;15314;15303;15315;15258;15311	unlocode
EE TLL	EE	Tallinn	24.7333	59.4333		15304	unlocode
	ES	Madrid	-3.7036	40.4167		14649;15085;15055;15276;15389	osm
	ES	San Sebastián	-1.9839	43.3224		14993	osm
	ES	Santa Cruz de Tenerife	-16.2536	28.4598		15616;15225	osm
	ES	Santander	-3.8101	43.4623		15296	osm
	ES	Santiago de Compostela	-8.5459	42.8804		15273	osm
	ES	Sevilla	-5.9953	37.3886		15230;15030;15039	osm
	ES	Torrejón de Ardoz	-3.4793	40.4588		15231	osm
	ES	Valdeolmos (Madrid)	-3.4545	40.6405		15301	googlemaps
	ES	València	-0.3760	39.4699		15087;15057	osm
	ES	Zaragoza	-0.8809	41.6521		15559;15005	osm
ES BCN	ES	Barcelona	2.1732	41.3793	49748	14991;15026;15029;15238;15295	googlemaps
ES BIO	ES	Bilbao	-2.9667	43.2500		15077	unlocode
ES CAR	ES	Cartagena	-0.9833	37.6000		15000	unlocode
ES LEI	ES	Almería	-2.4500	36.8333		15022	unlocode
ES PMI	ES	Palma de Mallorca	2.6333	39.5667		14992	unlocode
ES RUS	ES	Reus	1.1667	41.1333		15413	unlocode
ES SPC	ES	Santa Cruz de La Palma	-17.7667	28.6833		15224	unlocode
ES TAS	ES	Tabernas	-2.3833	37.0500		15240	unlocode
ES TCI	ES	Tenerife	-16.5667	28.3167		15367;15366	unlocode
ES TEL	ES	Telde	-15.4167	28.0000		15529	unlocode
ES VYR	ES	Villamayor	-6.8500	43.0333		15247	unlocode
ES YBS	ES	Yebes	-3.1000	40.5333		15532	unlocode
	FI	Helsinki	24.9426	60.1674		15216;15541;14552;15118;15466;15613;15582;15401	osm
	FI	Kylmälä	24.3935	60.2377		14995	osm
	FI	Otaniemi	24.8318	60.1879		14994	osm
	FI	Tampere	23.7603	61.4980		15278	osm
	FI	Turku	22.2671	60.4518		15630	osm
FI 	FI				50668		top500
FI ES2	FI	Espoo	24.6667	60.2167	47508	15632;15284;15652	unlocode
FI JYV	FI	Jyväskylä	25.7333	62.2500		15245	unlocode
FI KUO	FI	Kuopio	27.6833	62.8833		15591	unlocode
	FR	Aix-en-Provence cedex 4	5.3311	43.4912		15469	googlemaps
	FR	Bouguenais (Nantes)	-1.5820	47.2584		15544	googlemaps
	FR	Cugnaux	1.3458	43.5370		15453	osm
	FR	Evry	2.4380	48.6311		15842	osm
	FR	Fontenay aux Roses	2.2870	48.7911		15059	osm
	FR	Gif Sur Yvette	2.1345	48.7019		14428;15070;14771;15607	osm
	FR	Grenoble	5.7275	45.1822		15192;15318;15086;15239;15474	osm
	FR	Illkirch	7.7116	48.5299		15622;15634;15394;15736	osm
